3:2:w;10:1:m;5:12:t;2:5:u;2:9:l;12:14:r
4:4:g;10:7:j;4:14:m;0:2:p;1:8:n;10:12:p
0:5:i;10:1:e;0:14:s;0:0:g;8:8:i;10:12:x
9:4:j;13:7:x;9:14:b;7:4:z;0:4:r;10:13:h
1:0:f;13:6:k;6:11:d;2:3:m;6:0:k;12:13:h
8:7:c;13:9:d;1:12:f;9:0:v;7:4:r;13:12:s
6:2:q;10:4:m;6:10:o;7:3:f;8:9:e;12:14:j
3:7:n;13:2:u;0:11:a;7:1:c;5:8:q;11:13:m
0:2:m;10:3:a;9:10:h;6:5:y;9:1:v;14:12:z
1:5:u;11:2:z;4:11:d;4:6:e;6:4:b;11:10:x
7:6:f;14:9:i;9:14:m;8:1:y;8:3:j;14:11:o
0:0:z;10:4:p;0:11:w;9:2:s;8:6:m;10:10:u
3:9:g;12:3:o;8:12:b;4:5:e;8:3:q;13:10:g
6:1:g;14:9:j;1:10:n;5:5:i;3:0:z;11:14:v
1:7:f;13:5:p;7:11:p;3:4:p;7:4:l;13:14:s
5:7:l;11:4:s;0:10:w;6:2:a;6:2:m;12:10:g
5:7:d;11:7:f;0:10:y;1:6:d;3:7:w;13:14:m
4:0:n;12:7:u;0:13:e;8:8:l;3:6:m;13:14:q
9:1:r;10:5:u;1:12:u;7:0:d;3:9:t;10:14:i
3:0:s;11:2:v;4:14:h;3:8:f;0:7:b;14:12:b
2:4:f;10:7:c;5:14:n;0:6:v;6:3:p;12:13:h
7:6:c;14:3:a;9:11:h;4:5:m;4:4:w;10:14:a
7:9:k;10:3:m;6:13:y;0:2:e;7:1:i;13:10:u
2:6:i;13:7:f;1:13:g;3:7:k;8:3:c;11:13:y
2:0:u;11:1:b;1:11:s;0:3:j;4:3:i;11:13:b
0:8:v;10:3:p;2:14:o;5:1:v;5:8:v;13:13:v
7:4:x;12:6:e;2:10:v;1:2:d;5:8:f;14:14:s
5:9:f;14:6:f;2:14:f;0:3:r;9:1:y;11:14:z
8:2:t;13:0:x;8:11:k;4:2:o;4:5:e;12:11:l
4:0:d;13:2:w;4:11:r;7:5:p;2:6:u;13:13:n
4:5:b;13:9:j;3:14:b;5:5:c;4:2:a;11:13:w
9:2:o;10:3:z;3:13:q;2:3:l;8:2:m;12:13:t
6:1:m;11:6:q;4:13:y;6:6:u;8:1:w;14:12:e
7:6:b;10:0:g;9:10:c;9:9:s;1:9:w;10:11:q
1:4:x;12:9:g;7:14:a;1:8:j;2:4:c;10:14:x
0:2:w;11:1:e;3:14:t;7:7:d;7:6:m;13:14:m
7:7:z;13:6:b;7:10:g;5:3:a;3:1:h;11:11:c
2:5:d;10:4:e;7:14:p;0:6:g;7:1:t;10:10:t
4:9:p;11:6:c;1:12:z;4:6:b;0:5:d;11:10:y
8:4:x;11:2:b;0:12:a;7:2:t;3:7:o;10:12:f
6:3:r;13:4:m;0:14:s;5:9:v;6:1:i;12:10:n
0:2:v;14:0:g;8:13:m;8:9:q;1:1:s;14:10:n
2:9:t;14:7:m;6:11:p;8:1:j;8:7:i;13:13:c
4:7:o;12:2:e;1:13:j;0:5:r;5:7:p;12:12:r
1:7:n;13:8:c;4:11:o;7:4:e;5:0:b;10:11:d
9:7:j;14:9:h;5:11:q;2:2:w;4:0:n;12:12:z
7:3:c;10:4:z;2:14:p;5:6:b;4:2:h;14:11:h
2:0:n;12:7:g;0:10:r;0:0:w;7:3:w;14:14:s
1:1:l;14:6:g;6:14:w;3:0:f;8:6:g;10:12:o
4:6:x;14:6:t;7:10:a;7:5:g;4:6:u;13:11:t
8:1:a;12:8:c;9:11:a;1:3:v;1:8:m;10:13:k
2:3:j;13:4:m;8:11:a;8:0:f;7:0:d;14:13:o
2:2:e;13:6:t;2:13:d;3:4:y;5:5:i;12:12:d
0:9:a;10:3:u;4:11:s;5:0:n;8:7:e;11:13:k
6:9:p;11:5:d;8:14:w;2:1:j;1:8:x;10:13:l
2:4:v;13:1:k;1:10:u;5:8:b;2:1:i;11:13:k
5:0:k;11:6:k;0:14:b;3:9:y;6:0:c;12:10:h
2:0:g;10:4:o;4:12:a;4:3:f;6:0:l;13:14:y
7:0:h;12:6:q;9:14:u;5:3:r;9:3:x;11:12:z
0:8:c;14:3:i;2:13:a;8:1:t;6:6:d;12:11:d
8:4:n;13:4:r;5:10:q;9:7:f;5:1:m;12:14:v
8:0:v;12:3:g;5:13:q;4:0:w;9:7:u;11:11:k
2:1:j;11:3:m;2:11:l;4:3:m;7:2:s;14:12:d
6:1:v;11:8:h;1:14:r;0:4:s;5:2:p;10:13:d
3:2:p;12:7:c;0:14:d;4:1:v;6:9:q;11:12:l
3:1:a;10:7:v;7:11:k;1:1:v;8:1:y;13:14:a
4:1:p;13:7:k;2:12:w;8:7:o;8:8:x;10:10:i
0:0:q;13:7:v;0:14:u;5:3:d;1:1:d;10:11:c
2:3:w;12:0:n;9:12:h;4:3:i;2:8:r;12:13:l
3:9:y;11:1:b;9:10:u;7:9:a;0:2:t;12:14:o
3:6:l;14:5:w;4:10:d;7:4:n;0:9:k;12:14:e
5:5:y;10:8:j;7:11:w;5:0:t;0:9:k;12:11:g
0:1:y;11:1:d;0:13:q;9:9:a;5:5:l;13:14:b
9:6:x;10:1:u;6:14:o;2:6:n;8:7:k;14:13:p
2:2:w;10:6:p;9:14:k;9:3:f;8:1:m;10:10:r
8:0:p;12:2:h;0:11:g;3:1:h;8:6:d;12:10:q
3:8:s;14:4:k;7:13:b;9:0:c;6:0:v;10:10:b
3:2:u;12:1:a;2:14:q;9:2:j;1:2:g;14:10:m
9:6:t;12:7:l;9:12:v;4:8:p;1:0:u;11:14:t
2:8:e;14:0:k;2:13:w;3:1:l;6:8:a;14:12:p
2:9:e;10:2:g;1:12:g;8:3:l;5:6:a;14:11:o
3:1:e;14:3:y;9:11:q;5:7:u;4:6:l;12:12:v
0:7:o;12:7:e;8:14:k;2:6:u;4:8:a;12:13:i
6:9:h;14:2:p;3:10:a;1:8:q;5:7:z;11:12:u
9:1:v;10:7:e;8:14:s;7:9:m;0:5:m;14:10:d
8:5:v;11:4:h;8:10:x;5:9:j;5:3:z;14:12:a
8:5:u;12:5:k;3:12:g;1:8:h;8:1:d;14:14:l
3:8:s;13:5:s;0:14:u;3:7:q;7:7:u;10:14:l
5:7:o;11:8:i;0:11:o;2:3:w;5:3:g;14:12:j
7:8:a;14:7:n;0:14:g;0:9:b;2:6:v;13:12:h
5:2:q;13:6:s;6:11:q;1:5:f;8:6:j;13:13:w
2:4:p;13:3:s;5:11:y;2:9:s;2:5:q;12:11:t
1:6:t;14:5:e;6:12:w;7:1:n;5:9:v;10:14:a
5:6:q;13:2:f;6:14:d;7:4:f;5:3:w;13:13:o
6:1:x;11:7:c;9:11:o;4:2:q;9:8:d;12:14:y
0:8:u;13:4:w;5:11:y;1:3:m;2:4:f;14:14:r
5:2:v;10:4:h;4:14:p;7:8:d;8:4:m;12:10:x
8:2:z;14:2:n;9:13:a;4:8:n;6:6:w;14:14:m
6:6:y;13:4:x;9:12:x;3:9:b;5:7:h;10:12:t
1:1:d;10:5:z;3:11:j;1:8:d;6:9:e;12:13:l
1:6:o;11:6:h;8:13:k;9:2:w;1:0:d;13:11:q
3:0:d;11:4:b;7:11:k;9:0:k;4:9:z;13:14:q
6:4:l;10:2:m;1:11:u;6:6:y;0:2:j;12:13:u
8:6:h;12:0:z;5:14:y;1:1:i;0:1:f;14:13:m
8:3:x;10:4:q;7:13:n;5:8:d;5:0:g;14:11:a
2:7:l;11:7:q;0:13:h;3:5:a;3:9:s;14:12:z
5:0:b;12:9:e;3:11:a;5:7:l;1:4:t;13:10:g
7:3:g;13:3:e;5:12:v;8:1:j;6:0:j;14:13:a
6:9:g;10:8:x;7:10:j;0:4:c;1:8:s;11:14:u
3:0:j;10:8:i;1:10:b;0:3:p;3:5:g;12:13:p
6:1:f;14:4:x;9:12:u;5:4:z;8:1:e;13:11:g
3:0:t;13:8:e;7:11:u;4:4:b;2:9:x;10:14:a
2:9:c;14:7:u;6:13:x;5:4:b;5:0:a;11:14:i
5:7:p;11:1:e;3:12:h;9:9:i;3:3:u;11:13:r
1:9:i;10:3:q;0:10:o;6:4:g;2:8:h;10:13:a
5:7:v;14:9:w;9:12:p;8:5:r;9:7:n;10:10:o
2:4:l;12:6:y;6:12:z;5:7:v;7:0:u;13:11:g
6:2:e;10:7:s;9:13:c;4:8:b;2:3:j;13:12:d
3:7:e;13:3:c;8:12:z;6:2:m;8:2:n;12:10:k
7:6:j;11:9:h;7:13:z;1:3:s;3:5:s;13:12:m
4:8:x;11:6:s;6:10:g;7:8:t;4:5:t;11:11:x
7:6:j;10:9:q;3:13:n;6:9:q;6:2:s;14:10:b
1:3:m;13:9:n;6:11:y;9:4:d;9:2:i;14:13:g
1:3:c;13:5:g;8:11:c;1:8:s;8:8:a;12:13:m
4:4:h;10:4:n;7:13:n;6:2:p;0:4:i;10:11:f
6:9:l;10:5:o;5:11:r;6:7:e;0:9:k;12:10:g
6:3:z;12:2:n;1:13:o;2:3:x;0:1:j;14:10:h
4:2:m;13:5:o;0:14:k;7:2:k;1:6:a;11:13:f
4:9:l;14:8:m;1:12:v;6:4:i;2:4:s;13:12:h
9:7:j;11:1:j;1:13:c;0:8:m;1:3:z;11:11:r
8:8:j;11:8:p;8:12:x;2:0:o;7:3:m;14:11:l
8:2:r;12:9:d;6:14:s;8:8:d;9:6:y;13:13:e
3:3:t;11:2:u;7:13:f;0:3:a;0:3:v;11:14:w
3:4:j;13:5:y;9:10:f;4:8:y;6:0:v;10:12:g
8:9:s;11:3:l;2:14:f;9:1:y;9:3:c;14:11:n
8:9:j;13:4:f;6:13:p;1:5:u;5:4:c;14:11:y
4:3:d;13:0:m;5:12:e;2:8:t;0:0:k;14:14:t
7:6:i;11:8:r;6:14:t;5:5:u;8:9:p;13:12:l
3:9:n;14:5:a;4:14:n;1:9:x;6:9:e;13:13:q
0:5:p;14:4:n;5:13:b;6:2:e;1:8:d;11:14:g
6:9:c;14:9:g;3:13:u;3:8:n;7:1:v;11:10:u
4:6:d;14:6:i;4:12:n;4:1:t;8:0:o;12:10:j
5:9:v;12:8:y;3:11:n;7:1:a;4:1:f;10:13:b
8:4:q;12:9:m;9:13:v;7:6:t;7:5:d;12:11:s
7:4:c;14:2:c;1:12:t;4:5:r;0:8:g;12:13:d
3:4:i;13:4:f;4:11:r;2:3:i;8:1:e;13:12:n
1:4:v;11:1:x;7:12:s;7:5:d;6:5:x;12:13:f
9:1:h;12:9:x;8:14:g;0:2:h;5:7:m;12:13:q
6:7:b;14:3:r;2:10:r;3:9:e;1:5:e;12:14:a
7:1:k;13:7:y;9:11:g;9:5:y;6:4:l;13:12:r
6:4:f;14:6:x;8:10:f;8:7:w;0:3:p;14:10:d
0:8:c;12:2:f;8:14:h;8:1:j;0:2:q;14:14:c
1:2:r;14:5:a;5:14:n;2:7:t;5:3:k;13:10:k
5:2:k;11:4:n;4:13:e;6:8:c;9:4:k;14:14:w
8:4:p;10:8:z;9:10:x;5:4:f;1:7:z;12:10:f
8:4:d;14:6:o;9:11:d;9:8:e;5:5:n;10:11:h
0:0:h;13:8:o;6:14:c;5:6:c;9:1:m;10:12:e
5:8:c;12:0:f;0:13:w;4:9:a;0:2:u;11:12:p
9:9:p;12:2:e;2:12:i;4:1:y;0:4:j;14:11:a
7:1:w;10:2:o;0:13:s;2:3:f;3:0:u;11:10:y
1:8:q;13:3:c;1:10:z;3:8:y;7:5:q;12:12:b
2:3:l;13:8:d;1:11:a;8:8:j;2:1:d;12:12:y
1:6:f;10:1:d;4:10:z;9:7:k;1:5:b;12:11:i
6:7:u;14:8:d;3:11:f;4:5:r;1:6:j;12:12:s
3:0:t;13:7:y;2:10:j;4:9:b;6:7:t;14:11:g
6:7:k;14:3:z;1:11:m;5:7:y;9:9:t;12:11:b
6:6:i;14:5:u;1:14:i;3:2:n;8:8:s;13:13:p
6:7:p;14:6:d;9:14:n;8:5:z;2:9:i;12:13:w
9:5:d;13:4:y;2:10:k;7:4:o;8:9:e;10:13:u
7:4:o;10:6:w;9:10:j;6:4:d;6:5:w;14:13:m
1:5:v;10:4:v;1:11:a;5:1:o;1:9:o;11:12:q
6:6:w;13:2:p;8:13:v;9:1:n;6:3:j;14:10:b
7:0:t;11:7:q;1:11:u;6:8:a;5:3:d;11:10:f
4:4:m;13:1:e;8:14:r;0:0:u;7:4:u;11:10:i
7:3:f;13:0:b;7:13:l;7:6:b;2:2:o;10:11:i
5:6:f;14:1:f;8:13:p;9:1:y;0:5:r;14:13:a
3:3:h;11:0:k;0:11:k;1:1:i;5:8:o;10:13:m
2:0:i;11:2:r;3:11:z;7:9:z;6:7:o;11:11:p
4:7:y;13:0:n;5:13:g;5:5:z;1:2:c;14:14:p
5:4:e;13:0:h;6:10:m;5:8:o;8:6:y;10:12:z
7:5:x;10:9:e;7:13:f;4:2:b;1:7:f;12:12:t
8:6:h;13:4:l;1:12:y;4:8:p;1:4:b;10:12:s
2:8:w;14:6:g;0:13:y;0:6:r;5:7:c;14:11:e
0:7:s;12:1:r;9:10:f;2:1:w;6:3:c;11:11:c
6:7:d;13:0:k;5:13:k;7:1:i;3:2:p;14:11:a
1:5:j;13:5:o;7:10:j;1:2:i;3:4:w;12:11:l
8:8:d;10:4:e;7:14:p;5:2:q;2:8:u;11:13:i
3:0:i;11:8:f;3:14:c;7:5:p;5:0:s;11:12:q
3:4:w;10:9:j;7:11:b;8:5:v;9:0:y;11:10:h
9:2:g;10:2:c;5:13:m;2:7:p;7:6:w;11:13:u
8:3:j;14:8:t;8:13:o;6:0:q;2:8:u;12:14:w
6:6:b;12:7:u;0:10:y;2:9:a;9:7:f;11:11:g
9:6:w;11:4:m;0:12:w;4:8:o;0:7:n;12:11:b
4:6:k;13:2:s;1:11:t;1:0:t;2:8:q;13:13:w
7:2:c;10:2:s;3:11:v;6:7:z;0:4:t;10:12:n
8:8:b;11:1:e;5:11:b;9:2:f;7:4:d;10:10:q
6:0:y;13:7:u;7:14:m;1:2:w;1:9:j;11:14:e
5:6:i;11:0:n;2:10:p;2:0:p;0:5:h;14:12:x
8:6:t;12:3:f;5:12:v;2:0:t;4:0:f;14:13:c
7:6:v;13:9:j;6:12:u;2:3:y;6:6:g;10:14:w
5:7:b;11:8:u;2:12:t;8:0:l;3:0:f;12:13:i
2:6:u;11:4:j;8:10:u;2:2:d;7:5:j;10:13:b
4:5:c;14:1:w;8:13:w;1:3:d;1:5:e;11:13:m
0:9:s;13:3:s;4:10:v;5:1:p;5:2:z;11:14:i
8:8:l;10:5:s;2:14:e;6:2:f;0:8:l;13:12:y
5:4:l;11:6:x;5:13:t;2:2:w;2:8:i;13:12:w
0:4:l;12:9:g;1:14:c;6:9:t;2:5:s;11:12:k
0:6:a;10:6:k;1:11:l;5:4:j;5:1:n;14:14:w
3:3:j;12:1:d;8:12:v;5:2:k;0:7:e;10:14:i
5:8:n;10:1:j;5:12:r;2:4:m;1:2:c;13:11:n
6:2:m;14:1:g;3:14:g;5:5:s;6:2:c;13:12:t
3:4:l;11:6:r;4:13:g;4:9:p;4:0:a;10:13:h
9:1:e;13:1:b;6:10:z;4:6:u;7:9:o;10:10:w
1:6:o;14:7:d;0:13:l;9:8:w;4:8:h;13:14:y
8:1:z;10:3:d;4:10:f;1:3:r;3:5:j;14:13:j
0:9:n;11:9:h;1:12:e;0:1:d;5:1:f;13:12:j
4:8:f;10:3:c;1:13:d;3:3:n;3:3:p;13:13:a
8:0:c;11:2:l;5:11:g;6:8:b;5:7:y;14:10:n
3:5:p;11:2:x;3:10:q;0:7:y;8:1:k;14:13:h
5:0:u;10:6:l;7:11:v;1:4:g;7:3:x;14:14:p
6:4:d;11:5:p;0:11:v;6:5:g;6:8:b;10:10:z
9:9:l;14:3:f;9:14:a;4:7:q;4:7:p;10:13:l
0:5:x;10:3:u;0:13:w;4:4:t;8:8:v;14:10:i
7:7:x;10:7:c;2:10:q;0:3:e;6:4:i;10:13:n
2:9:j;11:1:k;1:11:h;5:0:s;3:3:u;12:14:v
3:8:y;10:1:c;5:11:n;0:1:g;5:3:n;11:12:x
1:6:w;10:7:w;0:10:j;5:5:k;4:2:k;10:14:r
3:3:h;14:4:v;0:13:n;8:1:y;0:6:v;14:14:c
5:5:e;11:7:a;1:11:z;3:0:d;4:6:c;10:14:g
6:3:y;10:5:v;1:11:c;8:8:g;5:3:m;14:13:h
3:0:r;11:7:q;8:10:w;1:6:k;1:1:w;11:14:j
7:6:r;14:4:u;4:13:y;7:4:q;7:8:g;11:14:q
6:7:i;13:7:m;6:12:j;2:1:i;5:6:f;10:13:u
1:0:w;14:1:z;1:13:t;1:3:c;7:5:d;11:12:r
4:3:h;11:4:n;5:13:y;0:3:g;4:5:j;11:14:w
7:9:i;11:9:a;3:12:s;5:9:m;2:5:h;13:14:x
3:3:b;14:7:n;1:12:e;6:0:m;0:4:p;11:13:f
5:7:y;13:5:n;1:11:r;0:4:u;6:0:x;14:12:y
9:6:y;13:0:q;2:10:d;0:8:j;1:6:v;14:14:h
8:5:s;13:2:k;2:12:q;1:4:s;9:0:y;13:10:u
2:5:n;14:0:n;9:11:v;0:3:s;3:5:x;13:12:p
7:9:l;13:8:c;3:10:x;4:7:b;6:3:k;10:13:m
5:7:i;10:2:w;7:12:y;0:8:n;4:2:m;12:13:e
8:7:z;13:5:u;8:10:d;3:6:k;8:2:n;11:14:l
0:6:k;14:4:d;7:14:z;3:5:c;8:9:f;13:12:q
3:4:j;14:2:y;9:13:a;0:5:e;1:1:l;12:12:z
8:7:j;11:2:d;2:10:g;8:5:o;0:6:l;14:13:h
8:4:d;10:7:g;6:13:i;4:8:m;5:8:o;12:13:c
4:0:a;12:8:m;1:11:e;7:2:j;4:0:z;13:10:q
7:4:m;11:0:c;6:14:g;3:9:o;6:7:z;12:12:r
3:4:u;10:3:e;6:11:s;0:4:h;0:4:i;13:11:q
3:9:s;14:6:b;1:13:n;2:2:o;1:2:f;13:11:r
2:1:y;13:2:h;4:13:o;8:8:e;5:7:n;14:12:c
1:2:f;10:4:m;0:10:o;8:6:r;4:0:b;14:14:i
5:8:h;13:3:i;7:10:u;2:6:s;2:3:t;13:11:v
8:2:s;13:8:k;2:12:z;2:9:x;8:2:h;14:14:n
6:6:m;11:1:b;8:14:s;7:0:p;6:6:q;12:12:z
7:6:e;10:9:z;0:11:q;0:4:c;9:9:s;11:13:c
1:0:q;10:5:a;4:10:y;0:6:c;3:7:p;13:10:u
6:7:d;14:3:w;3:13:g;9:8:l;4:0:m;11:11:j
7:1:u;11:4:v;9:12:o;7:9:w;7:4:i;10:11:d
2:9:n;12:4:f;9:12:t;1:4:q;6:1:s;11:13:q
4:1:u;10:8:c;2:12:i;6:1:c;3:2:u;11:14:r
9:4:a;12:0:x;7:10:k;5:2:v;9:0:s;13:14:t
5:7:d;12:9:v;2:12:j;8:8:r;9:3:j;11:11:l
8:5:d;10:3:s;3:12:b;8:2:z;7:0:o;11:12:c
6:3:p;13:6:m;1:13:p;5:6:t;8:3:k;12:12:p
8:5:e;13:8:i;3:11:l;6:5:f;4:0:r;10:12:l
2:3:s;11:9:m;7:13:d;0:0:e;3:1:p;13:11:h
2:9:c;10:6:e;9:12:r;1:2:g;7:8:g;14:14:m
1:0:c;14:8:p;1:13:t;8:5:l;9:2:u;10:14:b
3:9:r;13:7:t;1:12:i;3:9:m;3:0:w;14:10:s
4:6:l;13:3:r;0:13:z;4:5:y;1:5:z;12:14:x
0:5:d;11:4:s;9:13:d;3:9:m;3:7:x;13:13:r
2:6:p;12:3:e;5:14:p;1:3:x;0:4:b;13:11:g
6:8:q;14:4:j;0:11:f;8:9:i;8:1:x;13:14:u
5:5:r;13:8:i;7:12:a;8:6:y;1:9:y;12:11:f
7:1:w;12:8:q;1:14:n;8:6:z;9:2:n;11:11:l
1:5:x;14:8:d;3:11:q;3:8:q;8:0:e;10:11:d
3:7:b;14:9:e;5:10:k;2:7:l;3:0:m;13:13:x
5:4:u;10:7:x;3:12:m;4:6:w;2:6:s;12:14:c
6:1:e;13:1:w;4:11:g;2:1:k;7:0:u;12:10:d
8:9:e;11:2:y;2:14:y;1:0:m;1:6:i;10:14:t
4:0:a;11:5:l;0:14:m;5:5:w;0:7:m;11:10:f
0:5:c;14:2:j;4:14:x;2:2:r;3:2:o;10:12:v
7:1:d;13:9:b;5:12:j;3:6:x;3:0:q;12:13:d
7:3:z;10:2:j;4:13:u;9:9:w;4:2:x;14:13:t
9:7:i;10:5:r;6:13:q;9:7:u;1:8:l;13:13:s
5:1:i;10:1:l;9:12:k;5:6:d;9:8:o;13:13:r
0:5:u;10:4:j;7:13:t;4:5:e;5:8:k;12:12:w
5:3:s;12:0:q;7:11:u;7:5:n;8:1:m;10:10:r
6:5:i;13:7:z;0:10:y;5:8:s;6:6:v;12:14:k
2:0:o;12:9:c;8:14:e;2:1:v;5:6:v;11:12:t
1:9:k;11:4:l;2:11:n;0:8:s;6:1:m;12:11:u
9:3:q;10:2:f;5:10:f;8:5:y;5:1:e;12:12:j
0:3:y;13:6:j;6:12:n;1:6:e;7:7:a;10:14:c
3:5:m;12:0:k;0:13:m;2:0:x;5:5:t;11:13:t
3:5:m;14:3:n;8:11:i;0:3:y;4:2:d;12:13:b
2:4:b;10:5:u;6:11:b;0:7:i;5:4:v;10:11:w
9:7:j;11:9:u;7:12:b;3:2:r;7:0:k;12:14:a
4:2:h;11:6:h;8:13:r;3:5:f;4:5:r;13:13:o
7:9:g;13:7:p;8:14:a;3:8:k;0:9:l;14:13:t
1:9:a;10:1:v;5:14:r;0:5:g;1:6:h;13:12:m
9:4:g;14:7:g;0:14:k;9:9:p;7:9:r;14:13:v
7:5:m;13:7:s;4:14:j;4:5:e;1:5:h;14:10:u
8:8:l;12:0:t;0:12:a;4:2:b;0:7:o;13:12:k
9:9:z;12:4:n;2:10:u;8:6:v;7:0:y;10:13:e
9:3:c;12:6:x;5:10:b;0:2:s;7:9:n;12:12:f
9:3:d;12:4:t;2:12:u;7:6:b;2:7:a;10:13:u
6:6:b;10:7:z;7:13:d;3:0:h;0:3:d;11:11:j
7:7:l;10:8:j;7:13:s;9:5:k;7:9:h;13:13:e
3:7:h;14:8:h;1:11:s;2:1:n;1:6:p;12:13:b
2:9:q;12:7:v;2:12:g;3:1:z;1:7:k;11:10:f
5:8:q;10:8:s;3:12:c;5:4:p;6:8:n;12:11:b
0:5:e;10:8:i;8:14:i;9:4:w;6:7:i;14:11:s
3:3:f;14:1:t;5:10:x;9:2:r;2:8:b;12:14:p
7:5:c;12:3:z;1:10:z;7:4:t;5:0:w;13:11:z
2:6:e;14:2:e;3:12:b;8:2:k;1:5:k;14:14:x
4:1:q;10:5:o;5:11:z;4:0:f;9:5:q;11:13:c
5:2:v;12:7:v;5:13:f;0:6:b;0:8:g;14:13:q
5:2:w;14:3:j;7:12:g;4:5:j;6:8:o;12:12:k
6:7:r;10:9:b;1:11:i;5:8:x;9:1:f;10:14:i
2:6:j;13:3:w;4:10:h;7:4:f;9:5:t;12:14:t
7:9:l;13:7:s;7:11:k;0:6:d;1:8:o;12:10:k
7:2:n;14:3:c;4:11:h;2:7:k;1:9:m;10:14:l
8:4:i;14:0:c;1:14:n;7:5:i;4:9:n;11:11:c
1:5:f;14:0:k;9:13:l;5:0:o;2:7:g;11:11:h
3:5:m;12:8:q;6:10:i;1:0:v;0:7:j;12:12:l
5:6:a;12:6:h;8:11:m;0:3:t;7:7:g;11:11:i
7:6:n;13:3:b;2:11:d;0:2:y;6:1:r;14:13:g
5:0:e;14:2:p;7:13:v;3:4:u;5:2:k;11:11:g
1:8:d;11:9:v;8:14:a;1:0:s;4:3:n;11:14:y
0:3:z;14:1:b;7:13:z;8:5:l;7:7:v;10:10:u
7:7:y;14:6:c;5:11:r;5:7:i;6:3:r;13:12:s
2:9:s;14:3:c;7:12:t;4:4:a;0:8:i;12:12:u
3:9:k;14:3:g;0:10:q;2:1:b;0:2:y;13:10:o
5:0:o;10:5:q;1:13:z;2:9:n;3:1:t;10:14:g
5:4:k;11:4:k;7:14:m;7:9:y;1:8:q;10:13:f
1:5:d;11:0:x;7:11:i;7:5:s;2:6:q;12:14:r
3:1:i;10:0:t;2:12:t;0:0:y;6:5:w;11:13:v
7:5:p;12:6:s;5:14:f;7:7:z;6:2:u;14:11:n
2:9:a;14:0:l;6:14:l;8:0:u;7:9:i;11:10:w
0:6:y;10:1:b;2:14:c;8:4:z;3:3:r;12:11:h
2:8:r;14:9:p;7:12:h;5:2:r;6:7:b;12:11:k
0:2:e;13:7:l;6:11:k;6:5:h;3:6:n;10:11:q
6:9:d;10:7:i;8:10:y;3:3:e;0:7:z;13:12:n
0:8:l;14:5:h;7:13:c;8:6:w;0:4:u;13:11:j
4:7:f;10:5:m;0:11:t;0:9:r;9:2:u;13:14:o
6:5:c;13:8:l;6:14:v;8:3:q;2:8:p;11:13:j
1:5:t;13:2:c;4:10:q;2:3:c;0:5:q;13:10:d
1:7:v;12:7:m;3:14:k;9:3:t;7:1:k;14:14:g
5:9:s;13:6:e;5:12:t;1:6:x;0:7:p;10:12:o
7:4:c;10:0:f;0:12:b;4:9:z;5:5:f;13:11:k
0:1:j;13:3:n;9:10:r;4:1:n;5:3:s;14:12:p
7:4:l;12:7:u;8:13:i;9:1:y;9:4:m;13:14:u
5:2:z;14:2:c;8:13:m;7:2:s;5:1:b;12:13:o
9:0:j;13:3:o;0:10:w;5:7:h;9:8:l;12:12:r
4:3:t;13:9:b;7:10:k;1:6:t;6:6:e;14:13:c
9:0:s;12:0:u;3:12:v;3:2:o;1:2:r;14:10:c
9:9:v;13:8:h;2:13:v;2:7:b;3:9:a;10:11:l
7:1:t;14:9:r;1:11:w;6:4:e;5:6:q;13:10:a
8:9:c;10:7:k;6:11:x;6:1:d;1:8:i;11:10:d
3:9:r;10:6:f;2:14:r;5:7:a;8:6:p;14:10:f
6:3:j;12:2:x;8:10:f;6:4:f;1:9:c;10:11:p
0:8:b;11:4:e;4:13:n;6:7:u;8:4:k;12:12:a
3:0:y;11:9:h;9:13:e;5:1:e;4:7:b;14:11:d
1:9:k;10:4:q;1:12:o;1:2:b;6:4:x;13:11:q
0:8:j;14:2:x;0:13:j;4:0:i;9:8:a;10:13:t
5:8:l;11:6:z;2:12:q;7:4:j;8:0:v;13:13:p
4:2:l;10:8:r;9:10:a;1:6:r;4:8:c;10:12:h
4:5:v;10:0:k;9:10:s;5:9:o;3:0:b;12:10:z
7:0:v;10:0:f;4:14:n;1:6:w;2:3:e;10:13:e
3:6:n;11:1:q;5:12:r;1:2:q;4:0:p;14:12:a
3:4:c;10:4:e;5:11:t;8:6:r;5:7:b;11:12:t
6:7:n;14:0:a;7:11:y;5:1:g;9:8:c;12:14:i
3:6:u;11:0:z;1:10:k;7:6:t;9:7:f;11:12:z
3:1:c;13:9:s;2:13:z;8:5:v;3:0:s;11:13:j
5:6:l;11:1:y;9:14:g;2:8:y;4:7:s;12:11:k
2:3:w;10:2:t;9:12:q;7:3:v;6:3:c;14:14:u
2:1:s;12:7:c;7:12:m;1:5:g;1:9:d;12:11:s
0:0:q;12:6:f;6:11:i;4:2:z;7:5:b;13:14:h
2:6:w;14:4:x;0:11:a;3:4:f;7:8:h;14:13:w
2:8:y;10:8:a;0:13:m;8:4:a;1:0:v;10:11:h
6:3:t;14:3:d;3:14:r;1:9:i;2:9:g;12:10:e
7:9:u;13:0:r;3:11:g;7:0:y;2:5:z;14:13:u
6:8:d;13:9:l;1:12:b;5:8:a;9:5:u;11:11:y
9:1:o;11:5:o;8:10:r;1:9:l;5:1:n;14:12:d
6:7:w;11:0:x;6:14:u;2:5:s;6:7:x;14:14:x
